"","x"
"1",1554.09924316406
"2",1383.66430664062
"3",841.359680175781
"4",2424.24560546875
"5",5977.38671875
"6",1853.27746582031
"7",641.662170410156
"8",2294.56982421875
"9",1476.48742675781
"10",2964.04443359375
"11",1863.73071289062
"12",1415.01794433594
"13",772.828674316406
"14",2055.40307617188
"15",771.036499023438
"16",2426.4873046875
"17",2897.7587890625
"18",2665.17846679688
"19",2656.69604492188
"20",467.090789794922
"21",2781.83862304688
"22",3781.51391601562
"23",765.3994140625
"24",429.357940673828
"25",3028.61499023438
"26",900.68017578125
"27",799.544189453125
"28",2438.44702148438
"29",3712.82543945312
"30",2046.24304199219
"31",6.00290584564209
"32",2721.64404296875
"33",517.969543457031
"34",5546.60546875
"35",2374.7421875
"36",5118.6826171875
"37",2460.42114257812
"38",436.241027832031
"39",2994.31591796875
"40",2550.982421875
"41",1806.55541992188
"42",437.833892822266
"43",2576.4609375
"44",2099.64575195312
"45",846.601440429688
"46",1716.34057617188
"47",143.144088745117
"48",3062.62890625
"49",3730.16259765625
"50",1982.00146484375
"51",1070.19921875
"52",1728.95556640625
"53",3046.505859375
"54",1887.17761230469
"55",5101.70849609375
"56",3000.80517578125
"57",3039.03271484375
"58",639.495544433594
"59",722.117065429688
"60",1424.25524902344
"61",2570.41723632812
"62",3563.22436523438
"63",3225.98461914062
"64",1506.71704101562
"65",2247.07592773438
"66",2452.92211914062
"67",2540.46752929688
"68",3931.49438476562
"69",3125.1787109375
"70",3584.0458984375
"71",2987.87768554688
"72",2692.17260742188
"73",1705.74694824219
"74",4106.12548828125
"75",3815.03564453125
"76",2783.85034179688
"77",326.906219482422
"78",2549.60107421875
"79",627.245361328125
"80",2402.05932617188
"81",2555.27075195312
"82",1507.19348144531
"83",1672.42260742188
"84",2940.48217773438
"85",2793.73657226562
"86",1762.27722167969
"87",3812.0234375
"88",3450.77612304688
"89",750.821472167969
"90",628.59228515625
"91",2359.18896484375
"92",5973.33544921875
"93",2558.68017578125
"94",1462.97546386719
"95",1868.70153808594
"96",826.225158691406
"97",2246.35571289062
"98",2044.60339355469
"99",2900.42431640625
"100",1206.74523925781
"101",2157.4453125
"102",1549.12829589844
"103",2819.2080078125
"104",2017.52734375
"105",539.499755859375
"106",6282.10986328125
"107",758.283264160156
"108",840.025817871094
"109",1461.33642578125
"110",3428.85986328125
"111",617.336181640625
"112",3019.89428710938
"113",345.389312744141
"114",5945.75537109375
"115",1613.759765625
"116",2544.12280273438
"117",935.413879394531
"118",1454.41015625
"119",1589.45544433594
"120",1711.80310058594
"121",4727.2900390625
"122",626.683166503906
"123",1595.98571777344
"124",1502.33142089844
"125",3266.552734375
"126",4537.42236328125
"127",1905.60241699219
"128",614.686157226562
"129",1498.84594726562
"130",1674.86181640625
"131",2613.12890625
"132",1947.62866210938
"133",1741.62768554688
"134",298.068420410156
"135",1259.04565429688
"136",428.652069091797
"137",518.710754394531
"138",1181.66748046875
"139",283.188842773438
"140",2298.66259765625
"141",598.595581054688
"142",709.284545898438
